name	country	birth	position	foot	height	hmv
yusuf sarı	Türkiye	1998-11-20 00:00:00	Attack	left	168	6500000
yusuf sarı	Türkiye	1998-11-20 00:00:00	Attack	left	168	6500000
yusuf sarı	Türkiye	1998-11-20 00:00:00	Attack	left	168	6500000
yusuf sarı	Türkiye	1998-11-20 00:00:00	Attack	left	168	6500000
yusuf rabiev	<null>	<null>	<null>	<null>	<null>	<null>
yusuf kefkir	Türkiye	2006-11-06 00:00:00	Defender	left	<null>	<null>
yusuf kefkir	Türkiye	2006-11-06 00:00:00	Defender	left	<null>	<null>
yusuf kefkir	Türkiye	2006-11-06 00:00:00	Defender	left	<null>	<null>
yusuf kefkir	Türkiye	2006-11-06 00:00:00	Defender	left	<null>	<null>
yusuf inci	Türkiye	2005-02-01 00:00:00	Midfield	<null>	<null>	<null>
yusuf inci	Türkiye	2005-02-01 00:00:00	Midfield	<null>	<null>	<null>
yusuf inci	Türkiye	2005-02-01 00:00:00	Midfield	<null>	<null>	<null>
yusuf inci	Türkiye	2005-02-01 00:00:00	Midfield	<null>	<null>	<null>
yusuf gassan karasu	Turkey	2002-12-07 00:00:00	Midfield	<null>	<null>	<null>
yusuf gassan karasu	Turkey	2002-12-07 00:00:00	Midfield	<null>	<null>	<null>
yusuf gassan karasu	Turkey	2002-12-07 00:00:00	Midfield	<null>	<null>	<null>
yusuf gassan karasu	Turkey	2002-12-07 00:00:00	Midfield	<null>	<null>	<null>
yusuf erdoğan	Türkiye	1992-08-07 00:00:00	Attack	left	171	6250000
yusuf erdoğan	Türkiye	1992-08-07 00:00:00	Attack	left	171	6250000
yusuf erdoğan	Türkiye	1992-08-07 00:00:00	Attack	left	171	6250000
yusuf erdoğan	Türkiye	1992-08-07 00:00:00	Attack	left	171	6250000
